2012-08-26,2
2012-09-02,3
2012-09-09,2
2012-09-16,2
2012-09-23,2
2012-09-30,2
2012-10-07,2
2012-10-14,2
2012-10-21,1
2012-10-28,1
2012-11-04,2
2012-11-11,2
2012-11-18,2
2012-11-25,2
2012-12-02,2
2012-12-09,3
2012-12-16,2
2012-12-23,2
2012-12-30,2
2013-01-06,2
2013-01-13,2
2013-01-20,2
2013-01-27,3
2013-02-03,3
2013-02-10,3
2013-02-17,4
2013-02-24,4
2013-03-03,6
2013-03-10,6
2013-03-17,10
2013-03-24,15
2013-03-31,25
2013-04-07,49
2013-04-14,26
2013-04-21,15
2013-04-28,14
2013-05-05,11
2013-05-12,11
2013-05-19,9
2013-05-26,9
2013-06-02,8
2013-06-09,7
2013-06-16,6
2013-06-23,7
2013-06-30,9
2013-07-07,7
2013-07-14,6
2013-07-21,6
2013-07-28,6
2013-08-04,6
2013-08-11,8
2013-08-18,8
2013-08-25,7
2013-09-01,6
2013-09-08,6
2013-09-15,6
2013-09-22,6
2013-09-29,11
2013-10-06,8
2013-10-13,7
2013-10-20,9
2013-10-27,21
2013-11-03,21
2013-11-10,22
2013-11-17,51
2013-11-24,60
2013-12-01,60
2013-12-08,42
2013-12-15,45
2013-12-22,29
2013-12-29,25
2014-01-05,29
2014-01-12,28
2014-01-19,28
2014-01-26,28
2014-02-02,24
2014-02-09,31
2014-02-16,26
2014-02-23,45
2014-03-02,37
2014-03-09,20
2014-03-16,18
2014-03-23,18
2014-03-30,15
2014-04-06,15
2014-04-13,13
2014-04-20,12
2014-04-27,11
2014-05-04,11
2014-05-11,10
2014-05-18,11
2014-05-25,13
2014-06-01,11
2014-06-08,12
2014-06-15,11
2014-06-22,10
2014-06-29,10
2014-07-06,10
2014-07-13,10
2014-07-20,10
2014-07-27,10
2014-08-03,10
2014-08-10,12
2014-08-17,11
2014-08-24,9
2014-08-31,11
2014-09-07,11
2014-09-14,10
2014-09-21,11
2014-09-28,10
2014-10-05,12
2014-10-12,10
2014-10-19,9
2014-10-26,9
2014-11-02,9
2014-11-09,11
2014-11-16,10
2014-11-23,9
2014-11-30,9
2014-12-07,10
2014-12-14,10
2014-12-21,11
2014-12-28,9
2015-01-04,11
2015-01-11,13
2015-01-18,10
2015-01-25,11
2015-02-01,10
2015-02-08,10
2015-02-15,11
2015-02-22,9
2015-03-01,10
2015-03-08,10
2015-03-15,10
2015-03-22,9
2015-03-29,9
2015-04-05,9
2015-04-12,8
2015-04-19,8
2015-04-26,8
2015-05-03,8
2015-05-10,8
2015-05-17,8
2015-05-24,8
2015-05-31,8
2015-06-07,8
2015-06-14,10
2015-06-21,8
2015-06-28,10
2015-07-05,11
2015-07-12,10
2015-07-19,9
2015-07-26,10
2015-08-02,9
2015-08-09,8
2015-08-16,10
2015-08-23,10
2015-08-30,8
2015-09-06,8
2015-09-13,9
2015-09-20,8
2015-09-27,8
2015-10-04,8
2015-10-11,9
2015-10-18,9
2015-10-25,11
2015-11-01,17
2015-11-08,12
2015-11-15,11
2015-11-22,10
2015-11-29,10
2015-12-06,16
2015-12-13,13
2015-12-20,11
2015-12-27,11
2016-01-03,11
2016-01-10,12
2016-01-17,13
2016-01-24,10
2016-01-31,10
2016-02-07,10
2016-02-14,12
2016-02-21,11
2016-02-28,11
2016-03-06,10
2016-03-13,10
2016-03-20,10
2016-03-27,10
2016-04-03,10
2016-04-10,10
2016-04-17,10
2016-04-24,11
2016-05-01,17
2016-05-08,12
2016-05-15,11
2016-05-22,11
2016-05-29,14
2016-06-05,13
2016-06-12,19
2016-06-19,19
2016-06-26,15
2016-07-03,15
2016-07-10,13
2016-07-17,11
2016-07-24,11
2016-07-31,15
2016-08-07,11
2016-08-14,10
2016-08-21,11
2016-08-28,10
2016-09-04,11
2016-09-11,11
2016-09-18,11
2016-09-25,11
2016-10-02,11
2016-10-09,12
2016-10-16,11
2016-10-23,13
2016-10-30,14
2016-11-06,14
2016-11-13,14
2016-11-20,14
2016-11-27,14
2016-12-04,14
2016-12-11,14
2016-12-18,18
2016-12-25,20
2017-01-01,32
2017-01-08,24
2017-01-15,19
2017-01-22,18
2017-01-29,19
2017-02-05,20
2017-02-12,18
2017-02-19,22
2017-02-26,26
2017-03-05,29
2017-03-12,25
2017-03-19,25
2017-03-26,21
2017-04-02,21
2017-04-09,21
2017-04-16,21
2017-04-23,22
2017-04-30,31
2017-05-07,42
2017-05-14,50
2017-05-21,84
2017-05-28,55
2017-06-04,54
2017-06-11,58
2017-06-18,48
2017-06-25,49
2017-07-02,40
2017-07-09,45
2017-07-16,52
2017-07-23,48
2017-07-30,65
2017-08-06,63
2017-08-13,88
2017-08-20,100
