date,price,search
10-Mar-13,46.0,25
03-Mar-13,34.5,15
24-Feb-13,29.9,10
17-Feb-13,26.8,6
10-Feb-13,24.0,6
03-Feb-13,20.6,4
27-Jan-13,17.8,4
20-Jan-13,15.7,3
13-Jan-13,14.1,3
06-Jan-13,13.4,3
30-Dec-12,13.4,2
23-Dec-12,13.3,2
16-Dec-12,13.3,2
09-Dec-12,13.4,2
02-Dec-12,12.5,2
25-Nov-12,12.5,2
18-Nov-12,11.6,3
11-Nov-12,10.9,2
04-Nov-12,10.8,2
28-Oct-12,10.7,2
21-Oct-12,11.6,2
14-Oct-12,11.7,2
07-Oct-12,11.8,1
30-Sep-12,12.4,1
23-Sep-12,12.2,2
16-Sep-12,11.9,2
09-Sep-12,11.0,2
02-Sep-12,10.2,2
26-Aug-12,10.6,2
